gene	Adipo	Bcell	CLC	Endo	Fib	LEC	Myeloid	Neural-like	Plasma	PSC	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
KLF5	-0.31669972880844294	-0.2981204986611162	0.034541760585693373	-0.2749885525716953	4.205448733301582	-0.24371174012732003	-0.2751615671070718	-0.12018539092137623	-0.2671222084346723	0.24383391420958248	-0.29443470401011246	-0.2832636292110388	-0.23771973698514268	-0.3402875708326041	-0.32618720259646117	-0.28464977790024626	-0.08356666451018561	-0.2810499264840848	-0.26660629619947834	-0.29006921273580816
MFAP5	-0.37867372289766393	-0.22722024417906775	0.2050048868264964	-0.2366582359355858	4.162566527144425	-0.21568109714514502	-0.2790782014704302	0.23008829266441777	-0.36100404451474827	-0.21774420504026884	-0.32565674701219854	-0.4499921340453303	-0.4023096050536443	-0.3985831987103695	-0.3121105130737178	-0.24657328650081983	0.2081493695513008	-0.25459895166701535	-0.20351095498997843	-0.2964139339506569
EMILIN3	-0.4545353664072611	-0.44928954722582354	-0.002114752622948179	-0.22151831210517475	3.957841440355976	-0.6105800941829429	-0.4218066800181883	0.2345658514297616	-0.6105800941829429	0.4591086062505593	-0.4964132392604803	-0.5598232258022928	-0.6105800941829429	0.3561358981634591	0.5422217954566484	0.025900342657888348	-0.2560694774449113	-0.33795711547305685	-0.2155090443968119	-0.3289968910085143
POSTN	-0.5205124956851992	-0.45881842803719197	-0.2576316038941337	0.02332914031541011	2.998012144699979	-0.50313048889081	-0.5119575872364676	-0.18780072876214454	-0.5613089840103621	-0.41373210195466803	-0.5242360323653626	-0.25397650635052965	1.0974559275251654	-0.18242388002362522	2.412994811606315	-0.2634150008983813	-0.25892979398539684	-0.5384521424066502	-0.5269980472476355	-0.5684682023983105
CCL21	-0.2637657618173555	-0.26457106104369693	-0.17362791400557484	-0.12582521612978448	-0.162340242835391	4.243666119467741	-0.22036431719817237	-0.2640830394501205	-0.24682002598029906	-0.15744831340359758	-0.25286129386912576	-0.2652281692473305	-0.2652281692473305	-0.2652281692473305	-0.2652281692473305	-0.2652281692473305	-0.256506881780611	-0.18171490855381203	-0.15818010815092615	-0.18941618901262092
PDPN	-0.4969269021837942	-0.2724933371460427	0.25025077769628046	-0.36762099608395576	1.5130561229418	3.755796960084379	-0.36801196002532327	0.2967645459539002	-0.4644589714895767	-0.3469672505999878	-0.33290848999950007	-0.5009440047594007	-0.4771176978371463	-0.386015465020696	-0.34055838997497806	-0.2623229442635321	0.12713546328088246	-0.43805758006781137	-0.44531472991938253	-0.4432851505861149
PROX1	-0.5511808399649009	-0.4966368256431082	0.02170484690429709	-0.3218727918077464	-0.34193156417347303	3.516748834835928	-0.3712318029999776	-0.42093182326643996	-0.5130569937955896	-0.28989022982559615	-0.5118108753343439	-0.5538279718225418	-0.5426989754500209	-0.5440408978491975	-0.5004190962926551	-0.37027528627129525	-0.3107782185435351	0.8243177929036845	0.7635542127623162	1.5142585056341955
EFNA5	1.7836216191786853	-0.6144436255786208	-0.06016629527048545	-0.5477407121445262	1.6216380139402782	2.862870932448485	-0.66762744384595	-0.21818021403190252	-0.7236186798171399	-0.47440150418419713	-0.6497684645025853	-0.5290161274476556	-0.5365384581395918	-0.5753990077152015	-0.13604325030139935	0.5220866070066231	0.6077399428386622	-0.6772721143698731	-0.2275954634674259	-0.7601457545961801
NT5E	-0.7706663235225171	1.0446395410910332	0.2535804118913805	1.4076950657717897	2.117441736581578	2.219808533958661	-0.6833591800454124	0.16000472543898572	-0.823930332593738	-0.6922446383057086	-0.37410942787151014	-0.7210393562011815	-0.5513950529213123	-0.9247977576907576	0.8175125122121605	0.021863568135661583	-0.29368375492042703	-0.7497621451247493	-0.7941995111555233	-0.6633586147284142
CD33	-0.2537472704401334	-0.1670093273675615	-0.16327549383119838	-0.3066911836147586	-0.2699230982070455	-0.4193933370068259	4.142075632993257	0.39775298853058744	-0.2700879696381599	-0.27692522717321894	-0.17688778353097936	-0.33102359891074556	-0.32764999397662564	-0.4922751957946282	0.37007941337717504	-0.17430841485053472	-0.2744589640331364	-0.29190684985669546	-0.35265707474316377	-0.3616872519256089
