gene	Adipo	Bcell	CLC	Endo	LEC	Myeloid	Neural-like	normal_Stromal_SC_1	normal_Stromal_SC_10	normal_Stromal_SC_11	normal_Stromal_SC_2	normal_Stromal_SC_3	normal_Stromal_SC_4	normal_Stromal_SC_5	normal_Stromal_SC_6	normal_Stromal_SC_7	normal_Stromal_SC_8	normal_Stromal_SC_9	Plasma	Tcell	tumor_Stromal_SC_1	tumor_Stromal_SC_2	tumor_Stromal_SC_3	tumor_Stromal_SC_4	tumor_Stromal_SC_5	tumor_Stromal_SC_6	ZF	ZG	ZR
CCL21	-0.2575338399330833	-0.2585069994109337	-0.1486072471315695	-0.09084033641940278	5.1894477447452	-0.20508559982307994	-0.2579172523657985	-0.17072571021437682	-0.12966822861128552	-0.174995839537007	-0.11372483234502859	-0.12140431039000528	-0.0715929350383691	-0.106648523800057	-0.12476341968050692	-0.12452200642468622	-0.1882963637522684	-0.16192890638676297	-0.23705585746450453	-0.2443563948448199	-0.2593010782519682	-0.2593010782519682	-0.2593010782519682	-0.2593010782519682	-0.2593010782519682	-0.24876188576341463	-0.1583799317865582	-0.1299394300174999	-0.16768650234433996
PROX1	-0.5499868139539709	-0.48473438050471984	0.13537134351345598	-0.2756595878082042	4.316584040459996	-0.3347090661604979	-0.3941665026031256	-0.32627944106649875	-0.22260325676359255	-0.2611108770655247	-0.21045489335766193	-0.26999871244840773	-0.20378341770322073	-0.2398799594032426	-0.2323078107843827	-0.3567367572783557	-0.2769905248200453	-0.1250141123867166	-0.5043782578928792	-0.5028874937279499	-0.5531536471531749	-0.5398397372001861	-0.5414451141262357	-0.4892592099826266	-0.3335647601361337	-0.2623868591216113	1.0955582401975024	1.0228651771984945	1.9209523920795157
PDPN	-0.5477945274595287	-0.3103127439319383	0.24282290090988676	-0.41097097704239094	3.95217608741667	-0.4113846710193828	0.29204090732773474	-0.3682579430508151	-0.13637966380984662	-0.2702863362004615	-0.48150024139373626	1.6442750273602293	-0.5206050449915195	-0.38285800069285797	-0.212450543525405	2.2710755675282934	0.5792500530363234	-0.4927921863162738	-0.5134389617605388	-0.37424033983016186	-0.5520451781325143	-0.5268336467743552	-0.430434871800758	-0.38233499309505387	-0.2995510602216223	0.11254985355170413	-0.48550263449417735	-0.49318170375366277	-0.4910341278338396
EFNA5	1.8637523435091135	-0.6079294408750358	-0.03663673571832359	-0.5391788610228643	2.9761327819688	-0.6627459122461715	-0.19950141403998353	-0.4839164519967553	-0.48338020099995416	-0.5491924122915459	-0.4846548929860651	2.2325112082937317	-0.5260367780386216	-0.0655906884891686	-0.687518448757535	2.0071512024499514	0.10519817631341137	-0.33889411845373363	-0.7204559842876644	-0.6443386924980055	-0.5198794633035594	-0.5276327168015702	-0.5676862194021269	-0.11484298469943724	0.56349034406377	0.6517730921710737	-0.6726866578128252	-0.2092056956795648	-0.7581043783693394
CD33	-0.2000412621139364	-0.09637736422909955	-0.09191491417873722	-0.26331659715809363	-0.39801133520210547	5.053578093374825	0.5785921009274108	-0.3328719005308383	-0.236062908745908	-0.1921857911269761	-0.21830326730929625	-0.011870493228762814	-0.1287774868452296	-0.2503760920638399	-0.2435948366386777	-0.343791762984239	-0.48511528647651525	-0.0686058406106549	-0.21957066888824475	-0.10818349237451333	-0.2923972154571026	-0.2883652886554514	-0.48511528647651525	0.5455183322030189	-0.10510078828879107	-0.22479461472515402	-0.24564726340747756	-0.31825222596512825	-0.3290445428239655
CSF3R	-0.14950396495692211	-0.17441634251245078	0.2483717303367012	-0.26454374542832026	-0.3697873406711764	5.028671210050696	0.9461845603004971	-0.25939872355840243	-0.06713137715981572	-0.4066499875518122	-0.20307473099833778	-0.2508950179107667	-0.18222152179301632	-0.3116752627373939	-0.2389842611284698	-0.36330244501210984	-0.2422324665726242	-0.37196993387744476	-0.19546596431066252	-0.18225809190359038	-0.20470387703413553	-0.2059973936494425	-0.33756813512161005	-0.20907468230900922	-0.03015871024440697	-0.017858278254055084	-0.3164401828165768	-0.3468943718132147	-0.32102069136212685
C1QA	-0.06250055511717782	0.05305695791939983	0.23298799364946512	-0.13575933098797976	-0.4671173806330378	4.836227203228317	0.7473755458773218	-0.41506461407896517	-0.6839881290045854	-0.7843300917417044	0.219217613526511	-0.4554180456010082	-0.018105409641534134	-0.6266535800942281	0.21838783409122525	-0.687973200050214	-0.7930499035835901	-0.10522018323036539	-0.07185174830814572	-0.13039165990144666	-0.38290499077701917	0.3275034477750637	0.14786359353724116	0.13305909985670447	-0.1936444491175951	0.034657674420451375	-0.32515958267269524	-0.45240937365408196	-0.1587947356863287
C1QC	-0.42008621087985865	0.007878637819811659	0.3951594543651374	-0.15046265295571762	-0.3148312243494739	4.831318576070555	0.09888526747782173	-0.23562794324793696	-0.5952180243968719	-0.11051621365404427	0.29466575664727274	-0.24971053392599082	-0.008846376960055165	-0.47624216233699734	0.6968947899355312	-0.6606251720577383	-0.7401230880599954	-0.14676873432973095	-0.6267885882493406	-0.13478490960694675	-0.8240926269441439	-0.5454909802940737	-0.45595964031240743	0.2726221715477928	0.02465539967262391	0.3118020510016348	-0.0657616846545158	-0.3286283007063176	0.1566829633839765
CSF1R	-0.6050676755786712	-0.35748803184562145	0.33751011700077604	-0.45185904711420416	-0.4799350928363853	4.630503554631748	0.07508910216137543	0.6682152636886594	-0.18453846046508124	-0.4723591853808587	0.20189092801875697	-0.3272670086061411	-0.0615307054306708	0.018301628051842544	0.04613874520354542	-0.5227027668807689	-0.4213689672537421	1.5733257082543084	-0.6063718894950534	-0.45379515226097855	-0.483499012445996	0.13730427000834602	-0.3554481255830127	-0.2717451930250467	-0.21248713676066197	-0.019737202893873165	-0.46102798238449333	-0.46065050862639834	-0.4794001721516999
LYVE1	-0.7982794030945877	-0.4100861267018541	0.031062483059495653	0.5673317156062173	1.6747460046118696	4.263665707364296	-0.02300471446236575	-0.4429703706323408	0.06747514995889575	1.1320380025288455	0.09342520377179901	0.12587716915225752	-0.32250450850955126	-0.4187436436769969	-0.15332883485373736	-0.1297519216641715	-0.4781050311668456	0.3845671079109851	-0.679542113097037	-0.8000045570164994	-0.9472542118292675	-0.13406579680626507	-0.9776466248338135	-0.5454860218550783	-0.45373847175300325	-0.37426337364202156	-0.10130115314434762	-0.22784217397827358	0.07773050875339502
ALAS2	-0.17178360610640617	0.06949729151428036	-0.05445051029096829	-0.22918812262042312	-0.07659019057383487	4.212014460905507	1.6512792179481257	-0.30203120066662786	-0.6654517490422281	0.02184829871824243	-0.5687726720207191	-0.45532215740187143	-0.23969896696421633	-0.6654517490422281	-0.6654517490422281	-0.22886645876969616	-0.6654517490422281	-0.6654517490422281	1.057954743435139	0.40656659142466295	-0.10655858887607085	-0.18973360623874527	1.2798289980717654	-0.40627501219045176	-0.6654517490422281	-0.023333126605066184	-0.551246747317373	-0.5419967891485304	-0.5604313519733521
CD4	-0.12266756353324235	0.008823595926963607	0.2311608678054324	-0.422719384655832	-0.7675947817965746	3.5231823590551863	0.9901875128113898	-0.5763844549653336	-0.7871791677283692	-0.4689692504543654	-0.4258578596201863	-0.59396456306825	-0.6356066642402722	-0.4988449887151148	-0.5738685286571522	-0.5291900655193896	-0.7896548979418765	-0.3535824331575736	-0.4279172226273928	1.4835916162319154	0.014566954744286228	-0.005963794865861018	0.11349792927760465	1.9640795732927852	0.4785662772050227	1.3892472941678629	-0.7472019159181713	-0.7101438392475969	-0.7595926038058947
GYPA	-0.5076248944428462	0.44633392431896407	1.3330967082066958	-0.39036201989099206	-0.7400197417090614	2.5634598689209134	2.538019446126531	-0.3352584644163444	0.232689435062002	-0.7400197417090614	-0.32105932018975947	0.07611018236643165	-0.5705404882261971	-0.5350038831509867	-0.7400197417090614	-0.5586037937124367	-0.7400197417090614	-0.43868448554327466	-0.7400197417090614	-0.03158393068408479	-0.050837123872989304	-0.7400197417090614	-0.7400197417090614	0.5488807304037047	0.2416859646542248	2.491115463227107	-0.5338220242838511	-0.46570213162506063	-0.5521709712843206
S100A8	0.04875403010708006	0.28753977053368246	-0.17195038196524728	-0.29089249569065784	-0.44315774080906495	0.9156832366706008	4.872209665813818	-0.44315774080906495	-0.44315774080906495	0.034894558962295506	-0.23918988843649985	-0.44315774080906495	-0.19188656310134905	-0.44315774080906495	-0.44315774080906495	-0.44315774080906495	-0.44315774080906495	-0.44315774080906495	0.6295664701455017	0.1852771289551793	0.06478059142992972	0.22672687926243248	-0.18253452972966014	-0.44315774080906495	-0.44315774080906495	-0.41064141204062077	-0.3089070156173473	-0.3599824705638175	-0.2347124258356049
S100A9	0.4381001911002664	0.24295943688088026	0.20623515117537308	-0.209493999920068	-0.4908603137091501	1.2875480645541781	4.570216424864626	-0.3581850421527997	-0.6811632879150403	0.16720638231388937	-0.5520154078014994	-0.5389736228709175	-0.4854025278131597	-0.574730646881581	-0.31334580407720747	-0.48001168027818775	-0.6811632879150403	-0.6811632879150403	0.20387802908988722	0.11491006923161765	0.18089560814636593	0.7691954527925443	-0.09588206618533207	-0.375399563519473	-0.47713109030237333	0.2557061385378364	-0.5492275390937219	-0.5375859287529144	-0.3551158515839585
SLC4A1	0.4712137389975357	0.5386922729906388	1.1916417997263844	-0.3767164458054449	-0.46824518223087547	2.1973547998595535	3.3803467458635788	-0.6052655484586981	-0.5294379125407174	-0.8220865815314866	-0.6726591003679143	-0.7482611479260407	-0.7832687830715154	-0.6959150051755452	-0.6854245846413488	-0.7676952263332304	-0.7522620136788168	-0.7522110463863256	0.9265176318235445	0.4650495854771615	0.6558779754260846	0.3769067060888838	0.7704666442700766	-0.4240377613674147	-0.00954173955288271	0.15579540639540002	-0.6891818224328911	-0.6826999840339698	-0.6649534213837242
CCR3	-0.38208139509616496	0.4406036949679166	2.160016436831561	-0.4024673787955912	-0.5695464166172263	2.398994148791893	3.288571194621747	-0.4273249808799127	-0.45069681818655405	-0.16628446746405293	-0.556314183831142	-0.6899373988430636	-0.5147127855650117	-0.5782240016184453	-0.15615022974923717	-0.5973078344352709	-0.7514268543140921	-0.4514746217335811	-0.3299837899566271	0.35629084609444567	-0.5471975819407414	-0.2589333090511261	-0.19775222681974872	0.08409198740293408	0.2530038713692349	1.0014469454561248	-0.6364489601299717	-0.6687489927042952	-0.6500048978039997
IL5RA	-0.36759304602637377	0.3978875525513076	2.8434164029663767	-0.2787585941444925	-0.6876261370811024	-0.05916721282287002	3.0527373458877793	-0.5528778579387609	-0.6876261370811024	-0.28938206103894554	-0.5989274187356107	-0.49103599348195553	-0.5111005046869391	-0.46126803610004014	-0.6876261370811024	-0.25784034932927885	-0.5043194021413546	-0.4116765766535167	2.072719545650702	0.03816082532860778	-0.5716739606967443	0.01839148953599231	-0.32057296642539446	-0.0058591438246961966	-0.10018606667970485	1.0881464879745095	-0.5266377426542154	-0.5875066775085619	-0.5521976277625111
CPA3	-0.023383271256034812	0.3491669988710443	2.6454501640421544	-0.4293512102965227	-0.2621136896738617	0.6191876150949405	2.9695483991194305	-0.5563440578298169	-0.714770682835171	-0.13812840918771233	-0.5010304579912558	-0.5939534064058333	-0.601499375590214	-0.18345094856586247	-0.43414576132547783	-0.34934553942317814	-0.585034925468193	-0.514390966575326	-0.41050490738925366	0.0236384973925616	-0.6729716532087622	-0.6488524605633569	-0.4996458554243491	-0.33200191110831073	1.2893589192024395	2.173323265988917	-0.5446156270765123	-0.48138405258481015	-0.5927546899316742
FAP	-0.5967716418615288	-0.12843007050253205	2.2568356283404083	0.42113390521319377	-0.569259274626467	-0.2560900744015225	2.5490600016589124	-0.7487577484098353	-0.24060149102253287	-0.8444962621099279	-0.15869115867943767	-0.6866911060403024	-0.8444962621099279	-0.5987091741027827	-0.5760935445655003	-0.33456074865093455	1.5375121955073356	-0.3563445112008448	-0.45225139174129597	-0.24562662459265747	-0.8444962621099279	-0.1279759570035555	1.017280686135863	-0.019098400420796666	0.26106357110753037	2.5062046412783183	-0.6990159219105834	-0.5051587998357797	-0.7154742033428886
MCAM	1.6918002728725616	-0.49197955908542146	-0.28201239467671774	0.015496244618164285	-0.577627894711062	-0.5141789781887589	-0.3121959975706144	-0.5170698237100099	-0.45571265085606444	3.862939290975257	-0.5566886809637345	-0.526834077370492	-0.45356568224107585	-0.5441050323526835	-0.5635822357643135	-0.4277197068996896	-0.46956387809299416	0.3150699180089474	-0.4775385613878542	-0.4468350002479556	-0.45777372188054705	0.8481273861029658	0.13621804171219767	2.182360805006325	0.27494080284448164	0.06751667741139787	-0.38041965864501104	-0.398905609697086	-0.5401602952102139
TAGLN	-0.44486921570031246	-0.7198294152478742	-0.7838462762055864	-0.8524504617786801	-0.742566643252585	-0.670706596762011	-0.8801771238384807	-0.23704374987056148	0.08528741740104376	2.733250139851625	1.8429688692213986	0.6933871847395522	2.2604766869497066	-0.4471078069301809	0.20363711904473203	0.6616003942485349	-0.21532437837467802	0.2541296246918805	-0.9229615537049474	-0.8386926001415532	-0.44475578154807305	0.2781340572257706	0.07438304672138857	1.6650330743491106	0.25570725759958957	-0.30403448215082796	-0.8362849445463448	-0.8421872829261988	-0.825156559065435
