gene	Adipo	Bcell	CLC	Endo	Eryth	Fib	LEC	Myeloid	Plasma	PSC	Tcell	unknown_5	ZF	ZG	ZR
ALAS2	-0.26045245562949626	-0.2596136320558968	-0.22010934440467061	-0.2666561518354649	3.6142277451353855	-0.2646272549260001	-0.26053169454161346	-0.2601522357315976	-0.223278894824401	-0.27412936058694404	-0.24205263163848112	-0.2538574025523938	-0.27540573436567195	-0.2767419597725614	-0.27661899227019204
GYPA	-0.277081641292089	-0.2337025643464049	-0.12931659535897969	-0.2748837278236062	3.6119943448009693	-0.25219793620885195	-0.2890870768829114	-0.26064471312356324	-0.2890870768829114	-0.2741211369800839	-0.2565855932574352	-0.24017607374482303	-0.27636067142193355	-0.2787087859620869	-0.2800407515152887
SLC4A1	-0.23523654422892212	-0.2327030535396255	-0.0858543245878987	-0.289636401490783	3.6089017586195022	-0.27691503312806265	-0.2910638299939726	-0.26915886744352874	-0.20858556400248543	-0.30412547369608767	-0.23218889149993466	-0.2659665765214835	-0.3046123298128849	-0.3064205850227066	-0.30643428365112607
HBB	-0.26668605450249683	-0.24021927653214234	-0.08368270149548243	-0.2434795287004688	3.5978161806035462	-0.3396022970220894	-0.43232387231809516	-0.29548550813025065	-0.21470328590449586	-0.3316130418513719	-0.17094382032370503	-0.12263887697253083	-0.3214244661984447	-0.37773691272428744	-0.1572765379276853
KIT	-0.6246105339373399	-0.09168772426123642	1.4664267076066622	1.4877278190283278	2.537874814827234	-0.49503402930414664	-0.1999305778624442	-0.38745994477388174	-0.4023628914397382	-0.7157582372554475	-0.18113993424159167	-0.1916899630394183	-0.7069641983822882	-0.7409668880539357	-0.7544244189107555
MPO	0.10104991195444599	0.8452623032829684	1.420805009050464	-0.7802956010300939	2.4474310817459637	-0.5456912513702558	-0.7561634381103992	-0.1744171864768937	0.4156423064512569	-0.9070646116001846	0.3015071451017105	0.3829651358886949	-0.9164260845758769	-0.9493376114571745	-0.8852671088546253
KLF5	-0.38599475552784823	-0.35861012935673336	0.003284627087541221	-0.30770598195304383	-0.4459630952416631	3.5022712872128476	-0.2639662067974642	-0.3108062612887002	-0.29348937857510304	0.5680936647060478	-0.33934771846285205	-0.4024650528532127	-0.32023623267461704	-0.31805015654288826	-0.32701460973231056
MFAP5	-0.45511423057905803	-0.22961115509095897	0.609500783824292	-0.20906331898806257	-0.47403650323462887	3.489771075975754	-0.2011814216350101	-0.28026195544712473	-0.42702559651835176	-0.18433285358559665	-0.37829429694231814	-0.47763758804705553	-0.22103345180759704	-0.21547091135552351	-0.3462085765687601
POSTN	-0.3627241096667193	-0.24918283216473536	0.14782931289493756	0.5562346025954229	-0.3599509054027435	3.483882386104826	-0.2953637872213805	-0.35090454374279195	-0.43302209971657774	-0.1667150754071661	-0.34029482224907026	-0.4085245951417407	-0.39169789545868217	-0.3816013600002882	-0.44796427542329076
COL1A1	-0.16642104620842146	0.16802836459258266	0.3216788876781439	-0.5793906896252341	-0.2365062143597294	3.2592683124181567	-0.6674849533220563	-0.3091855188061608	-0.34139675244317214	0.8783480394226839	-0.09598605183914231	-0.229734548935663	-0.6668362975006831	-0.6653649233935829	-0.6690166076777224
EMILIN3	-0.403122802396003	-0.43046353496613166	0.5333131701995416	-0.03744801615765866	-0.6453258080365015	3.2010730911051417	-0.6453258080365015	-0.35881591174481586	-0.6453258080365015	1.0154337629461978	-0.4002058112994908	-0.6453258080365015	-0.2588988110902463	-0.02232451196552543	-0.2572373924850037
TNC	-0.13386772436510516	0.4176386399708737	1.0329010457226038	-0.45260951625024126	-0.600103755880665	3.1584767674711225	-0.7145640163194421	-0.18155652937346392	-0.3048507279412097	0.2404640844958803	-0.08804802618766998	-0.33560856145763135	-0.6710295005799453	-0.6748388266797307	-0.6924033526253759
COL1A2	-0.14721486491421737	-0.03007803261890937	-0.008101990268184154	-0.4893596965285503	-0.5640552973203994	3.1367275585978933	-0.5375757146353447	-0.349306254379873	-0.28014637547786975	1.4336078268694334	-0.21509400489961208	-0.31500364898838995	-0.547364475945734	-0.5472125844821557	-0.5398224450080874
THY1	-0.4243868088852935	-0.33093166310632305	-0.13474431082202626	1.8090449002647422	-0.3045214019750529	2.93051026359764	-0.6431453395166491	-0.42735698891347784	-0.38738440377838484	0.08261528858054804	-0.35035190495151175	-0.29341053363031583	-0.5317030314653232	-0.4970319366863574	-0.4972021287122146
COL3A1	0.15779784629795512	-0.18416093089500077	-0.14195608407955054	-0.41494587435066227	-0.49693209738812627	2.851657968483941	-0.5759476431864563	-0.4093063151555293	-0.3994861595342735	1.8989380470551702	-0.29985899261922344	-0.3480617912730397	-0.5481120419109928	-0.5413139016044092	-0.548312029839801
MGP	-0.8398257441179838	-0.8006770909475075	-0.5949257416993877	1.1103027021861276	-0.8992111820884005	2.1683151095417457	0.21060838921690458	-0.38829489398506006	-0.8498309018757065	1.7894089588916913	-0.7649961798026504	-0.818777445282193	0.14889920505158424	0.16527151498174333	0.36373329992909315
CCL21	-0.30072405988544404	-0.30144754425926307	-0.2898434826504018	-0.17474874836962492	-0.2851561019077033	-0.2534360972426131	3.6120379330819654	-0.2606966715112296	-0.2827228571604858	-0.20389920332668704	-0.29243560468253366	-0.2879332776768533	-0.2272685460202484	-0.2155408479798044	-0.2361848904090732
PDPN	-0.4441335088555086	-0.2679132361115682	0.37956157361802667	-0.33101523980083775	-0.49860948120721404	0.5708196799889681	3.445169557500118	-0.3303543783733824	-0.4149792056294841	-0.2847624563626631	-0.3186343584976667	-0.3278888712662108	-0.3802284320188524	-0.4013693792236307	-0.3956622637600943
PROX1	-0.575649217825534	-0.525841419132921	-0.4057003741626069	-0.3620941390639102	-0.5512365382746731	-0.45119885326458525	3.08108397622379	-0.4182875916121391	-0.5457742985107273	-0.3566974676673453	-0.5488755231353726	-0.5728770882689267	0.8107177719338627	0.3970055733101487	1.0254251894509396
EFNA5	1.7635361772817595	-0.4620164159700799	-0.055812339772693384	-0.4030418188151244	-0.549185826977599	0.7434102048415093	2.7776625487779496	-0.512113463577967	-0.5597803791360495	-0.31986266462167384	-0.4949008174660628	-0.5490567027582893	-0.5560727256678857	-0.2253115285715118	-0.597454247566281
NT5E	-0.7090470480791865	1.174446458606326	0.14570882477001662	1.5151628015476248	-0.833469765528466	0.9968045610094076	2.3051984285757796	-0.5700184976669445	-0.7315294635081173	-0.593886500352514	-0.23648009998047897	-0.5399443056486659	-0.6612430503228729	-0.6825152864749546	-0.5791870569469532
CD33	-0.270401627006772	-0.15739464707083112	0.28699285454392054	-0.3086449641448692	-0.3764013574328636	-0.278303723844479	-0.4092576466144993	3.567199277453804	-0.28474940721164604	-0.2570063892260926	-0.26090270495486695	-0.2652498675541765	-0.28666521816891705	-0.3301119286188285	-0.36910265014888266
CSF3R	-0.2634416423916524	-0.2274693102174876	0.370928567235905	-0.3266833048674309	-0.12961288549447103	-0.2966030771050032	-0.4148381272140237	3.5508321040639266	-0.26235219904408924	-0.2917805416046128	-0.24835665243042757	-0.37633510178124197	-0.3627988506667209	-0.3679613546952235	-0.3535276237874465
C1QA	-0.17410552500716814	-0.0816340135368189	0.2762743427068483	-0.24227768633195332	-0.526982519452529	-0.36099465649104173	-0.5214095507438172	3.5465866663676064	-0.1626848429650585	-0.23128543721026662	-0.22781320852403691	-0.2752075160621819	-0.39161482829758976	-0.3921459900329114	-0.2347052344190825
CSF1R	-0.4039401300727848	-0.251271736014475	0.19232254996834572	-0.2841479813539441	-0.46483562795608624	-0.22549765055540155	-0.32753291533547485	3.5355954712907445	-0.40133126787913065	0.2704455161247357	-0.3115331656123999	-0.4104943838712501	-0.2855928647039709	-0.3067790338993402	-0.3254067801295678
CD68	-0.6958257221672051	0.5214776467429693	0.5715298899472064	-0.3695092263580332	-0.35875038848446655	0.05438818384876964	-0.38386930919781803	3.361534955250259	-0.5869079816078862	-0.4196041091771883	-0.08424557398209657	-0.5396988952347033	-0.3332429153676993	-0.36468061031432747	-0.37259594389778056
LYVE1	-0.6267995160394201	-0.35093720548836943	-0.041370885247200256	0.34987354270718957	-0.7842232967408634	-0.3492261238290037	1.0596751578128536	3.18296553397815	-0.5335980391765791	-0.11923860026950628	-0.6478346619545345	-0.7369060002683129	-0.022310764604074378	-0.3210065967652897	-0.059062544115039174
CD4	-0.26707768477133975	-0.11578725847728084	0.6442483399974572	-0.5061947369380054	-0.30605202133156284	-0.20528580720848127	-0.7964931353651058	2.865157887557058	-0.449876251736193	-0.5719114486601179	1.037231087378422	0.9574165008958363	-0.7394853455144004	-0.7512667388194874	-0.7946233870067992
ICAM1	-0.8031044518982874	-0.39319377947736933	0.4251914167500565	1.4972343845198084	-0.756613624007161	-0.2785930187495097	-0.5086486887233251	2.179605778977528	0.2601773803869631	1.6547597977167623	-0.4952462931231998	-0.3862627762201589	-0.7460306624995219	-0.7978641049632901	-0.8514113586892937
SDC1	-0.3773424226722222	-0.3325083827520241	-0.20862749678251935	-0.31370692110857207	-0.20553851558930644	-0.31347011946083586	-0.22793129245623747	-0.3411755250624323	3.587704967512773	-0.3201988830876473	-0.37017917179383464	-0.32728177400196923	-0.08791667591256117	-0.24992084719210295	0.0880930603594921
MZB1	-0.2638827943488489	0.18076059192066773	-0.21440831756878562	-0.3137168644401336	-0.251084237107286	-0.2958159803722954	-0.32979756452672593	-0.2983789022237553	3.585963035597561	-0.31916440521671874	-0.2685076137743137	-0.2440071504215495	-0.3212721167596548	-0.3218271366381147	-0.3248605441200457
IGHG1	0.14558236780974435	0.3394978121225243	0.05435408061689964	-0.4400476915635843	-0.18169870797703133	-0.27361355890318356	-0.5089873702128419	-0.2510413527443697	3.486196667380832	-0.4957200954959369	-0.21746053381364305	-0.13508996056320774	-0.5076851734200541	-0.5055306968661111	-0.5087557863700366
CD38	-0.5129454062288853	-0.22103071762487295	-0.13446744699279944	-0.08729781399140749	-0.35856249363311865	-0.482461687391752	-0.3176988518998276	0.49673800901598253	3.3670792311094737	0.6516280378476977	-0.36066769580469643	-0.3856257837254978	-0.5480151173407601	-0.5531367325257609	-0.5535355308137755
IGHA1	0.27581227790790097	0.8793950294955748	0.22064055260312615	-0.58747923228118	0.5431005832549014	-0.30527144173135806	-0.7070765863405212	-0.28927857555093767	3.1257327385249054	-0.6802642186709016	-0.16382830033024934	-0.20093062269439288	-0.7046644598046098	-0.7030302350932531	-0.7028575092890054
LUM	-0.4629603894391831	-0.48511007372959847	-0.30944337432350066	-0.24676465799139125	-0.5401528274801922	1.1751817810532035	2.200761336179418e-4	-0.3183023612311953	-0.48442166491916083	3.2806064934090053	-0.4744910152197409	-0.5165165745196002	-0.214895842066432	-0.2415705986496974	-0.16137897102613458
TAGLN	0.38947568658109943	-0.1974439276635773	-0.4877945062168669	-0.4724529933180754	-0.6327655871940584	2.0014916665012525	-0.3040030030934768	-0.08403854540232586	-0.6382926253197243	2.7159538991393335	-0.4404915510702889	-0.532219763165385	-0.43091195424488554	-0.47918241915676446	-0.40732437637625557
NES	-0.5064096325286135	-0.5114621530189022	-0.2690078739936766	2.3961208127109934	-0.5486478375871041	-0.08465867812431874	-0.011066282251479502	-0.4356552294915611	-0.34118467025161103	2.4687811298968705	-0.4833761741459096	-0.5486478375871041	-0.37898347369117996	-0.33823838820643726	-0.4075637117299654
NR2F2	-0.6118922649745542	-0.6970554283789543	-0.5980427761380072	1.2688259157497663	-0.7590430584260771	1.4539018124179102	1.2306155294913999	-0.6094296607457461	-0.7144821604926095	2.2038887628535604	-0.7015875118625912	-0.711593124686003	-0.2714275728529151	-0.0999729389825821	-0.3827055229725979
