gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff	cell_type
TNS3	7.543961920622804e-18	0.6402886994990491	0.491	0.629	2.502860246405028e-13	-0.138	PSC
C1S	7.890795061944887e-18	-1.0722322948559226	0.132	0.5	2.617929077701455e-13	-0.368	PSC
TEX41	8.07893964674001e-18	3.6286000745258944	0.237	0.044	2.680349806598933e-13	0.193	PSC
SLC16A9	9.387055452976982e-18	-2.8031121227611657	0.018	0.336	3.1143433876341736e-13	-0.318	PSC
NSD1	1.0020229905496119e-17	0.5306775800362842	0.377	0.565	3.324411675746447e-13	-0.18799999999999994	PSC
MTA3	1.0034458816289116e-17	-0.5238359207133183	0.184	0.524	3.32913240148024e-13	-0.34	PSC
AOX1	1.0585701812082476e-17	-3.405815650991157	0.044	0.398	3.5120182901946033e-13	-0.35400000000000004	PSC
FAT3	1.1878904021929648e-17	4.210938442869056	0.193	0.034	3.9410639873555994e-13	0.159	PSC
ELF2	1.2729276152282976e-17	0.47110630200271886	0.351	0.549	4.223191949042923e-13	-0.19800000000000006	PSC
CRYBG3	1.3818200957959381e-17	-1.7050190833932493	0.044	0.375	4.584464531822183e-13	-0.331	PSC
N4BP2L2	1.4185021510206514e-17	-0.32655075673265443	0.404	0.758	4.706164586441216e-13	-0.354	PSC
TPD52L1	1.455453433593828e-17	-2.5381576479460506	0.009	0.287	4.828757856634243e-13	-0.27799999999999997	PSC
NR3C1	1.5589289595872998e-17	0.6236813238266713	0.211	0.4	5.172058609222785e-13	-0.18900000000000003	PSC
GLDN	1.5650165032839784e-17	3.6406592479831836	0.167	0.061	5.192255252945255e-13	0.10600000000000001	PSC
BMPR2	1.5856864337133645e-17	-0.7191960513022999	0.36	0.746	5.260831881130829e-13	-0.386	PSC
CADPS2	1.5957973743701654e-17	-2.5158096050087275	0.088	0.463	5.294376948947898e-13	-0.375	PSC
MRTFB	1.64562501247931e-17	1.1381490093325588	0.36	0.434	5.459690103902607e-13	-0.07400000000000001	PSC
COL1A1	1.789975689511116e-17	2.0502413146421445	0.36	0.252	5.93860234509103e-13	0.10799999999999998	PSC
